FPS,AVG_FPS,Flachhänger,left_x,top_y,width,height
15.9,15.9,100%,424,439,456,255
15.9,15.9,100%,425,439,454,255
15.9,15.9,100%,423,440,456,255
15.9,15.9,100%,424,440,456,258
16.0,15.9,100%,424,441,456,253
16.0,15.9,100%,422,441,458,254
16.0,15.9,100%,423,439,457,258
15.9,15.9,100%,424,439,456,254
15.9,15.9,100%,424,440,456,255
16.0,15.9,100%,422,440,459,256
16.0,15.9,100%,423,439,456,257
16.0,15.9,100%,423,438,456,258
15.9,15.9,100%,424,439,456,255
15.9,15.9,100%,425,439,454,257
15.9,15.9,100%,423,438,457,259
15.9,15.9,100%,423,440,456,256
16.0,15.9,100%,422,438,457,257
15.9,15.9,100%,425,439,453,256
15.9,15.9,100%,423,439,455,257
15.9,15.9,100%,424,439,454,256
15.9,15.9,100%,423,438,456,258
15.9,15.9,100%,425,438,455,257
15.9,15.9,100%,426,438,453,259
15.9,15.9,100%,426,438,453,259
15.9,15.9,99%,428,438,451,256
15.9,15.9,100%,428,438,452,257
15.9,15.9,99%,429,438,453,257
15.8,15.9,100%,429,439,455,258
15.9,15.9,100%,430,438,454,259
15.9,15.9,99%,430,439,455,258
15.9,15.9,100%,427,439,457,257
15.9,15.9,100%,429,439,453,257
16.0,15.9,100%,430,440,453,251
16.0,15.9,100%,432,439,453,253
15.9,15.9,100%,432,439,455,256
15.9,15.9,99%,432,440,457,255
15.8,15.9,99%,433,439,456,255
15.7,15.9,99%,432,440,458,253
15.6,15.9,100%,433,439,457,257
15.6,15.9,99%,434,438,458,254
15.5,15.9,99%,435,441,459,251
15.5,15.9,99%,435,440,458,253
15.5,15.9,100%,437,440,456,253
15.4,15.9,99%,436,438,456,254
15.4,15.9,100%,437,439,458,253
15.4,15.9,100%,438,438,456,256
15.5,15.9,100%,438,440,461,251
15.5,15.9,100%,437,440,465,253
15.6,15.9,100%,440,440,462,252
15.6,15.9,99%,441,441,460,250
15.6,15.9,99%,441,442,460,248
15.6,15.9,100%,442,442,457,247
15.5,15.9,100%,444,440,456,247
15.5,15.9,99%,446,439,456,252
15.6,15.7,100%,446,440,458,250
15.1,15.7,100%,449,440,453,248
15.2,15.7,100%,448,440,456,248
15.2,15.7,100%,450,441,456,246
15.2,15.7,100%,451,440,454,248
15.3,15.7,100%,453,439,453,249
15.3,15.7,100%,453,440,453,244
15.3,15.7,100%,455,440,450,245
15.4,15.7,100%,456,439,450,245
15.3,15.7,100%,454,441,453,241
15.4,15.7,100%,458,439,450,243
15.5,15.7,100%,460,438,448,246
15.4,15.7,99%,456,439,456,250
15.3,15.7,100%,456,439,459,247
15.4,15.7,100%,456,440,461,244
15.4,15.7,100%,459,439,460,246
15.4,15.7,100%,458,440,463,246
15.4,15.7,100%,462,440,459,243
15.4,15.7,100%,462,440,463,241
15.5,15.7,100%,462,440,464,245
15.5,15.7,100%,464,439,461,240
15.4,15.7,100%,464,440,460,242
15.5,15.7,100%,463,441,469,245
15.5,15.7,100%,468,440,463,241
15.4,15.7,100%,472,441,457,243
15.4,15.7,100%,476,440,459,243
15.4,15.7,100%,478,441,452,241
15.5,15.7,100%,480,441,454,239
15.4,15.7,100%,482,440,456,241
15.3,15.7,100%,483,438,449,241
15.4,15.7,100%,485,439,453,238
15.4,15.7,100%,488,441,456,237
15.4,15.7,100%,490,441,446,237
15.5,15.7,100%,489,439,451,240
15.5,15.7,100%,487,440,461,236
15.5,15.7,100%,491,440,451,239
15.5,15.7,100%,490,440,464,236
15.6,15.7,100%,489,440,465,236
15.5,15.7,100%,498,442,459,233
15.5,15.7,100%,495,441,466,233
15.5,15.7,100%,496,439,465,235
15.5,15.7,100%,500,438,467,240
15.4,15.7,100%,500,441,466,229
15.4,15.7,100%,500,439,467,233
15.4,15.7,100%,501,441,469,236
15.4,15.7,100%,499,439,472,237
15.5,15.3,100%,504,440,467,237
15.5,15.3,100%,503,441,470,236
15.5,15.3,100%,506,445,466,228
15.5,15.3,99%,511,443,461,236
15.6,15.3,99%,510,444,463,230
15.5,15.3,98%,512,444,461,229
15.5,15.3,98%,508,442,470,235
15.5,15.3,99%,509,443,467,232
15.5,15.3,99%,510,443,466,232
15.6,15.3,99%,517,440,473,235
15.5,15.3,99%,508,441,471,234
15.5,15.3,98%,517,442,474,230
15.6,15.3,99%,521,438,468,233
15.6,15.3,98%,522,443,464,225
15.6,15.3,99%,522,441,468,230
15.6,15.3,99%,525,441,462,227
15.6,15.3,99%,524,438,464,231
15.5,15.3,99%,525,440,465,228
15.6,15.3,99%,526,438,464,229
15.6,15.3,99%,528,439,462,226
15.6,15.3,99%,530,442,460,220
15.6,15.3,98%,536,446,450,216
15.6,15.3,99%,534,445,460,219
15.6,15.3,99%,539,440,454,226
15.6,15.3,99%,538,438,456,232
15.6,15.3,100%,541,440,453,231
15.6,15.3,100%,542,438,455,237
15.6,15.3,100%,540,440,457,231
15.6,15.3,100%,540,440,456,231
15.6,15.3,99%,545,440,448,233
15.5,15.3,100%,543,439,454,235
15.6,15.3,100%,546,440,450,236
15.6,15.3,100%,546,442,453,233
15.6,15.3,100%,550,443,449,231
15.6,15.3,100%,549,443,454,228
15.6,15.3,100%,546,441,457,235
15.6,15.3,100%,546,439,453,238
15.6,15.3,100%,546,439,457,237
15.6,15.3,100%,550,440,454,234
15.6,15.3,100%,553,440,451,235
15.6,15.3,100%,550,443,452,230
15.7,15.3,100%,552,441,452,231
15.7,15.3,100%,551,442,454,229
15.6,15.3,100%,550,442,456,228
15.6,15.3,100%,549,437,457,239
15.6,15.3,100%,549,440,455,232
15.6,15.3,100%,548,441,460,231
15.6,15.6,100%,549,442,461,233
15.6,15.6,100%,551,441,454,228
15.6,15.6,100%,555,442,453,226
15.6,15.6,100%,553,443,454,229
15.6,15.6,100%,556,441,448,233
15.6,15.6,100%,557,442,453,227
15.6,15.6,100%,556,441,450,229
15.6,15.6,100%,557,442,449,228
15.6,15.6,99%,553,441,456,231
15.6,15.6,99%,553,442,454,229
15.7,15.6,99%,553,444,453,228
15.7,15.6,99%,554,444,457,228
15.7,15.6,100%,559,445,448,227
15.7,15.6,99%,559,445,446,228
15.7,15.6,100%,555,446,450,226
15.7,15.6,99%,556,445,449,227
15.7,15.6,100%,556,446,449,227
15.7,15.6,100%,557,443,449,233
15.7,15.6,100%,554,443,450,230
15.7,15.6,100%,555,444,447,231
15.7,15.6,100%,555,444,453,234
15.7,15.6,100%,552,444,452,231
15.6,15.6,100%,550,445,455,231
15.6,15.6,100%,550,446,457,229
15.6,15.6,100%,553,445,452,231
15.6,15.6,100%,552,444,456,233
15.6,15.6,100%,553,443,451,234
15.6,15.6,100%,554,444,446,230
15.6,15.6,100%,555,443,448,233
15.5,15.6,99%,552,441,452,233
15.6,15.6,100%,550,443,458,233
